f UK w_hedge, f UK r_hedge, f CAN w_hedge, f CAN r_hedge, f EU w_hedge, f EU r_hedge, f swi w_hedge, f swi r_hedge
0.031047, 0.003267, 0.020001, 0.007779, -0.008410, -0.007119, -0.000239, 0.001172
0.023651, -0.110227, 0.017514, -0.107495, -0.009062, -0.111968, -0.000241, -0.106843
0.019529, 0.058412, 0.017687, 0.064114, -0.008410, 0.066407, -0.000239, 0.066659
0.017499, 0.041557, 0.015550, 0.045951, -0.007259, 0.051233, -0.000233, 0.050462
0.018719, 0.042311, 0.016004, 0.049172, -0.007179, 0.047561, -0.000233, 0.049060
0.020489, 0.025550, 0.019058, 0.034208, -0.007020, 0.029511, -0.000234, 0.031708
0.022070, 0.015597, 0.018809, 0.024328, -0.007105, 0.017825, -0.000235, 0.020445
0.025314, 0.027731, 0.020453, 0.034551, -0.008363, 0.026409, -0.000243, 0.030725
0.026699, 0.038464, 0.020167, 0.037629, -0.008846, 0.022330, -0.000244, 0.029871
0.030085, 0.051536, 0.021867, 0.044465, -0.009694, 0.032549, -0.000252, 0.042215
0.025439, -0.015706, 0.011620, -0.021116, -0.009456, -0.028092, -0.000253, -0.021167
0.022623, -0.024410, 0.007908, -0.028174, -0.009872, -0.029612, -0.000256, -0.028103
0.023702, 0.005694, 0.007903, 0.002320, -0.009518, 0.003423, -0.000255, 0.003867
0.020205, 0.044998, -0.004168, 0.036725, -0.008730, 0.033141, -0.000247, 0.036573
0.021230, 0.012136, -0.003012, 0.001566, -0.008856, -0.002844, -0.000248, 0.001302
0.018510, -0.010100, -0.005487, -0.018033, -0.009020, -0.022395, -0.000248, -0.018759
0.018783, 0.005164, -0.004813, 0.000080, -0.009102, -0.005482, -0.000248, -0.000824
0.021631, -0.008785, -0.003390, -0.015295, -0.009122, -0.020553, -0.000254, -0.016199
0.019760, -0.018065, -0.009486, -0.017117, -0.008943, -0.022255, -0.000251, -0.018665
0.022019, -0.075991, -0.009845, -0.071923, -0.008795, -0.076906, -0.000251, -0.074181
0.023726, 0.027133, -0.011615, 0.034983, -0.008657, 0.030525, -0.000251, 0.031816
0.023665, 0.072001, -0.023300, 0.079137, -0.008217, 0.073487, -0.000249, 0.075390
