w_hedge, r_hedge, skewness, kurtosis, sharpe
0.026114, 0.008430, -0.403849, -1.287179, -6.313683
0.025437, -0.099284, -0.401927, -1.292265, -6.269936
0.026581, 0.065341, -0.272810, -1.119064, -5.953845
0.034897, 0.045425, -0.145010, -0.971139, -5.582339
0.033615, 0.039607, -0.187322, -0.957446, -5.468445
0.034542, 0.031749, -0.202842, -0.944078, -5.434177
0.037554, 0.025042, -0.164578, -0.989551, -5.518835
0.039268, 0.038252, -0.181263, -1.008493, -5.438889
0.039454, 0.036338, -0.211348, -1.050327, -5.183906
0.040184, 0.056350, -0.229692, -1.075605, -4.847222
0.034070, -0.018490, -0.273021, -1.082786, -4.535353
0.026844, -0.028781, -0.221655, -0.914249, -3.986470
0.028268, 0.003191, -0.287182, -0.843448, -3.744531
0.016690, 0.033299, -0.331834, -0.732065, -3.571782
0.018562, 0.001840, -0.383500, -0.604905, -3.402146
0.020438, -0.018729, -0.362705, -0.533525, -3.328030
0.022866, -0.002508, -0.412179, -0.392509, -3.113334
0.026876, -0.019106, -0.462762, -0.223277, -2.920273
0.023233, -0.022440, -0.501788, -0.044222, -2.790163
0.025548, -0.077563, -0.513402, 0.150221, -2.666129
0.026522, 0.026529, -0.464593, 0.275402, -2.559563
0.020584, 0.070304, -0.463730, 0.479965, -2.450934
0.033940, -0.025105, -0.415978, 0.617500, -2.370201
0.051269, -0.011729, -0.219040, 0.410958, -2.298537
0.032181, -0.061635, -0.108786, 0.500202, -2.178949
0.047475, -0.029184, 0.008233, 0.541472, -1.889501
0.050941, 0.048894, 0.171985, 0.611456, -1.689362
0.057103, -0.030305, 0.352669, 0.686116, -1.484992
0.059997, -0.048296, 0.466295, 0.848558, -1.263040
0.062257, -0.027082, 0.504564, 0.979209, -1.172084
0.053357, 0.062799, 0.502058, 1.049534, -1.110111
0.050148, -0.001678, 0.421340, 0.962564, -1.182906
0.064826, 0.057854, 0.391805, 0.880315, -1.235222
0.064099, 0.043499, 0.419200, 0.794355, -1.369891
0.076857, 0.038872, 0.412179, 0.676064, -1.467215
0.083455, 0.012558, 0.431524, 0.583548, -1.593514
0.087605, 0.014136, 0.474076, 0.603927, -1.713481
0.088328, 0.038882, 0.520082, 0.610041, -1.855093
0.089623, 0.069810, 0.547677, 0.612026, -1.933943
0.085810, -0.006897, 0.509882, 0.563482, -1.833724
0.085942, 0.034373, 0.504502, 0.560552, -1.819695
0.085926, -0.010404, 0.487587, 0.529849, -1.775574
0.085883, 0.013491, 0.498334, 0.563547, -1.807990
0.078263, 0.023058, 0.434058, 0.512333, -1.589448
0.078108, -0.007179, 0.417759, 0.446301, -1.530282
0.077877, 0.030854, 0.417536, 0.445785, -1.529664
0.079316, 0.014998, 0.379202, 0.392801, -1.425945
0.074255, 0.009019, 0.392854, 0.514337, -1.528761
0.076758, -0.014377, 0.411151, 0.573032, -1.586942
0.075700, 0.051529, 0.393668, 0.561417, -1.541552
0.076563, 0.000291, 0.374511, 0.538409, -1.491780
0.073152, -0.072877, 0.347932, 0.486690, -1.418089
0.073264, 0.007914, 0.315830, 0.443994, -1.331561
0.075728, -0.039479, 0.288968, 0.426729, -1.260780
0.075232, 0.099409, 0.287828, 0.426309, -1.257834
0.072498, -0.007817, 0.310470, 0.423172, -1.319394
0.075190, 0.002394, 0.323536, 0.435901, -1.353234
0.078002, -0.016299, 0.380716, 0.556259, -1.536876
0.073795, 0.010367, 0.440542, 0.593031, -1.725684
0.073244, 0.046956, 0.493520, 0.580600, -1.948225
0.076250, -0.009564, 0.548389, 0.590378, -2.143985
0.083853, 0.021916, 0.600327, 0.624131, -2.301109
0.088230, -0.012651, 0.590670, 0.811532, -2.844423
0.067318, 0.035055, 0.489952, 0.814703, -3.514454
0.062273, 0.008732, 0.509453, 0.792315, -3.574017
0.065270, 0.015321, 0.452995, 0.675836, -3.621262
0.057207, 0.004988, 0.568680, 0.778621, -3.572965
0.058542, 0.004593, 0.604882, 0.816624, -3.670419
0.062230, 0.052013, 0.663204, 1.095803, -3.946909
0.070912, 0.049807, 0.678548, 1.496317, -4.391844
0.080176, 0.038280, 0.697250, 1.934788, -4.781547
0.116061, -0.014516, -0.169328, -0.910128, -6.147911
0.119848, 0.044747, -0.142202, -0.871804, -6.524030
0.116389, 0.063524, -0.144109, -0.888089, -6.635341
0.134102, -0.001058, -0.433347, -0.065046, -6.566917
0.149041, -0.025909, -0.485546, -0.074853, -6.516987
0.148251, 0.019259, -0.416444, -0.174065, -6.781050
0.144773, -0.020756, -0.358740, -0.196581, -6.980641
0.148292, 0.046939, -0.330749, -0.232006, -7.037981
0.148011, -0.076008, -0.301864, -0.324482, -7.079237
0.164986, -0.061169, -0.313995, -0.416348, -7.062147
0.159767, 0.005903, -0.296073, -0.527286, -7.083638
0.147166, -0.007714, -0.305813, -0.576102, -7.069148
0.141053, 0.094387, -0.301481, -0.559463, -7.075501
0.144819, 0.017080, -0.286735, -0.601007, -7.095754
0.156566, 0.052536, -0.238516, -0.575770, -7.412869
0.161293, 0.044976, -0.217485, -0.572820, -7.478864
0.165438, -0.017259, -0.217332, -0.572641, -7.479575
0.167441, -0.001865, -0.197995, -0.544550, -7.583396
0.169170, -0.017384, -0.192543, -0.546743, -7.596789
0.172178, 0.024241, -0.206935, -0.585319, -7.477609
0.179334, -0.042844, -0.203716, -0.566141, -7.483317
0.177088, -0.183517, -0.203554, -0.567397, -7.483433
0.174677, -0.054452, -0.204923, -0.565197, -7.481077
0.157908, 0.024359, -0.249527, -0.511400, -7.387630
0.147274, -0.003528, -0.245384, -0.522996, -7.393204
0.147424, 0.031812, -0.230344, -0.529948, -7.430339
0.146444, 0.002270, -0.200745, -0.588467, -7.479602
0.150170, -0.013538, -0.161581, -0.633644, -7.560110
0.151372, -0.042859, -0.105197, -0.610969, -7.901183
0.148346, -0.018646, -0.047103, -0.604744, -8.097820
0.143687, 0.002118, -0.001405, -0.529560, -8.423922
0.142849, -0.074280, 0.026923, -0.430210, -8.735455
0.142706, 0.019407, 0.004389, -0.335305, -9.267192
0.136787, 0.041569, -0.042331, -0.273178, -9.919528
0.139475, 0.025672, -0.011980, -0.163988, -10.376301
0.144363, -0.005404, -0.006789, -0.070481, -10.994097
0.146743, 0.019430, -0.083623, -0.001139, -11.521018
0.146566, -0.023685, -0.107360, 0.133944, -11.978729
0.148033, -0.026944, -0.111220, 0.281313, -12.399303
0.146027, -0.005634, -0.145541, 0.451452, -12.971908
0.145422, -0.056119, -0.275891, 0.551414, -13.902528
0.144827, -0.039453, -0.407154, 0.546026, -14.950810
0.136541, 0.073865, -0.499124, 0.521297, -15.900177
0.132064, -0.056759, -0.519423, 0.603663, -16.616019
0.145971, -0.005630, -0.480303, 0.432526, -16.734454
0.136609, -0.069666, -0.494099, 0.383733, -17.427312
0.136589, 0.003020, -0.444495, 0.360484, -17.855560
0.127250, -0.003794, -0.378321, 0.186358, -17.865549
0.130118, -0.088326, -0.340854, 0.007035, -17.728106
0.129334, -0.089108, -0.296935, -0.165698, -17.600905
0.113722, -0.099767, -0.277161, -0.281620, -17.422719
0.101356, -0.048814, -0.327910, -0.311672, -16.956854
0.085741, 0.072879, -0.330294, -0.421719, -16.646388
0.080220, -0.036570, -0.296896, -0.521018, -16.557307
0.088425, -0.024848, -0.371521, -0.495745, -16.128993
0.082565, -0.121800, -0.356690, -0.596541, -15.901528
0.078962, -0.129976, -0.346330, -0.624427, -15.884228
0.064463, 0.071788, -0.303502, -0.691154, -16.193142
0.051152, -0.030649, -0.260565, -0.730693, -16.659677
0.058898, 0.003263, -0.252552, -0.802069, -17.244438
