w_hedge, r_hedge, skewness, kurtosis, sharpe
-0.007945, -0.004608, 0.876757, 0.107759, 10.175982
-0.008598, -0.114734, 0.899261, 0.170297, 10.465540
-0.008443, 0.062011, 0.905424, 0.220735, 10.782105
-0.006415, 0.050268, 0.869284, 0.201745, 10.968831
-0.006884, 0.049848, 0.872045, 0.239289, 11.119530
-0.006846, 0.030388, 0.852053, 0.216873, 11.025553
-0.006724, 0.018577, 0.804522, 0.179473, 10.830098
-0.007615, 0.028235, 0.812923, 0.141450, 10.632369
-0.008134, 0.025921, 0.854762, 0.168362, 10.439603
-0.009164, 0.035261, 0.888328, 0.188295, 10.292250
-0.008585, -0.029192, 0.898682, 0.191596, 10.244745
-0.008916, -0.034382, 0.874740, 0.175267, 10.336484
-0.008397, 0.002722, 0.833826, 0.139188, 10.486834
-0.007314, 0.036327, 0.818443, 0.148528, 10.597638
-0.007410, -0.001345, 0.809938, 0.107128, 10.446985
-0.007362, -0.021909, 0.798460, 0.049651, 10.205280
-0.007439, -0.003490, 0.800279, 0.041985, 10.170021
-0.007452, -0.019652, 0.803517, 0.037484, 10.140101
-0.007163, -0.021900, 0.806510, 0.029223, 10.097435
-0.007031, -0.076773, 0.805877, 0.054081, 10.199747
-0.006850, 0.029789, 0.812931, 0.092385, 10.342957
-0.006268, 0.074574, 0.815474, 0.109033, 10.402084
-0.006538, -0.021630, 0.823929, 0.130813, 10.477531
-0.006740, -0.016635, 0.846553, 0.152440, 10.576989
-0.006594, -0.062447, 0.868235, 0.180990, 10.690469
-0.006464, -0.030400, 0.902588, 0.243064, 10.934101
-0.005979, 0.046356, 0.934004, 0.299596, 11.147723
-0.005649, -0.027787, 0.950301, 0.360170, 11.399676
-0.006151, -0.048062, 0.959469, 0.413417, 11.621263
-0.005950, -0.013643, 0.959474, 0.439543, 11.729887
-0.005084, 0.071698, 0.954089, 0.448856, 11.793042
-0.005144, 0.003411, 0.948770, 0.420387, 11.693294
-0.005603, 0.067741, 0.951136, 0.396084, 11.582452
-0.005501, 0.051936, 0.965726, 0.386991, 11.457971
-0.006216, 0.042455, 0.980728, 0.370848, 11.285747
-0.006432, 0.018640, 0.987551, 0.349874, 11.152673
-0.006559, 0.017935, 1.044720, 0.651966, 11.289267
-0.007743, 0.029306, 1.123601, 0.861750, 11.193446
-0.008334, 0.065863, 1.188862, 1.026393, 11.105109
-0.007968, -0.015397, 1.225770, 1.143642, 11.087691
-0.008195, 0.024992, 1.260771, 1.237326, 11.050127
-0.007844, -0.024296, 1.330210, 1.497020, 11.043316
-0.008322, -0.000578, 1.398013, 1.787914, 11.063580
-0.005953, 0.017092, 1.456691, 2.048148, 11.082862
-0.005451, -0.014574, 1.551799, 2.515295, 11.134839
-0.005615, 0.023645, 1.672885, 3.371796, 11.379469
-0.006731, 0.009174, 1.809421, 4.457160, 11.663269
-0.010263, 0.001951, 1.803288, 5.534573, 12.468382
-0.009581, -0.022909, 1.053093, 3.027380, 14.429242
-0.008966, 0.040408, 0.373743, 1.323323, 16.109250
-0.010402, -0.012207, -0.316609, -0.261028, 17.607750
-0.010296, -0.083411, -0.426204, -0.281165, 17.958291
-0.010273, -0.000769, -0.468513, -0.280896, 18.094023
-0.007879, -0.042538, -0.454570, -0.299899, 18.029671
-0.007124, 0.093397, -0.399438, -0.332153, 17.814924
-0.005177, -0.008181, -0.331559, -0.358678, 17.555805
-0.008555, 0.005147, -0.276947, -0.405413, 17.257413
-0.007578, -0.007172, -0.257265, -0.469080, 17.104168
-0.010255, 0.016450, -0.253065, -0.455299, 17.113714
-0.009498, 0.051860, -0.255546, -0.452788, 17.122926
-0.009241, -0.001821, -0.222863, -0.464741, 17.033386
-0.008680, 0.030645, -0.184602, -0.503921, 16.876428
-0.008824, -0.006311, -0.135215, -0.480640, 16.789558
-0.014371, 0.046975, -0.119195, -0.387641, 16.901365
-0.012717, 0.013187, -0.098048, -0.403149, 16.824698
-0.013318, 0.012208, -0.035837, -0.374585, 17.445236
-0.013731, -0.001537, 0.192427, -0.684909, 18.717912
-0.013793, -0.003196, 0.163750, -0.627530, 19.288615
-0.013520, 0.045041, 0.104528, -0.605387, 19.638642
-0.013003, 0.047256, 0.038952, -0.622115, 19.842467
-0.013750, 0.037996, 0.009821, -0.630099, 19.905075
-0.014010, 0.004500, 0.022725, -0.577399, 19.975578
-0.016507, 0.078176, 0.006026, -0.489798, 20.284563
-0.017802, 0.088107, 0.001758, -0.504933, 20.267683
-0.020154, 0.018093, -0.001010, -0.462476, 21.183834
-0.022027, -0.013817, 0.163111, -0.631453, 22.639124
-0.022471, 0.028624, 0.159695, -0.595334, 22.839028
-0.022714, -0.001614, 0.153140, -0.577345, 22.929446
-0.023465, 0.081217, 0.143096, -0.528453, 23.184477
-0.023988, -0.047280, 0.149618, -0.554127, 23.058079
-0.025454, -0.024323, 0.124073, -0.609899, 22.520716
-0.026145, 0.034934, 0.115476, -0.629996, 22.347182
-0.025561, 0.013121, 0.110501, -0.631104, 22.295921
-0.025542, 0.104105, 0.205352, -0.743762, 22.861432
-0.025933, 0.018275, 0.230052, -0.764644, 23.026990
-0.028629, 0.043801, 0.220139, -0.744781, 23.149588
-0.030258, 0.035323, 0.200326, -0.708292, 23.384080
-0.032508, -0.023887, 0.199060, -0.709092, 23.386120
-0.032793, -0.027995, 0.173355, -0.756271, 23.347869
-0.033064, -0.005362, 0.132497, -0.806285, 23.344931
-0.033796, 0.032594, 0.103287, -0.873045, 23.244771
-0.033886, -0.048111, 0.060682, -0.841446, 23.894906
-0.033996, -0.203127, 0.001419, -0.809164, 24.368173
-0.032535, -0.053814, -0.058504, -0.823483, 24.523165
-0.024781, 0.017139, -0.084510, -0.803891, 24.830721
-0.022756, -0.001273, -0.135157, -0.776409, 25.335929
-0.022844, 0.035794, -0.130096, -0.770818, 24.985059
-0.022622, 0.007086, -0.085345, -0.714534, 24.457135
-0.023589, -0.011886, -0.127546, -0.770107, 24.352430
-0.023362, -0.046443, -0.107686, -0.806445, 24.097249
-0.021702, -0.017118, -0.101990, -0.868375, 23.789314
-0.020795, 0.007609, -0.054387, -0.884552, 23.297921
-0.020051, -0.067712, -0.031604, -0.854098, 23.321949
-0.021198, 0.028817, 0.029361, -0.830843, 23.207423
-0.020088, 0.052341, 0.061639, -0.816060, 23.155687
-0.020529, 0.018705, 0.062787, -0.816524, 23.151100
-0.022192, -0.005229, 0.048665, -0.816158, 23.191747
-0.022376, 0.024373, -0.001386, -0.795810, 23.412876
-0.022287, -0.016332, -0.002433, -0.795137, 23.417521
-0.022829, -0.019820, 0.025043, -0.825910, 23.238146
-0.023359, 0.011345, 0.068541, -0.873939, 22.892939
-0.022238, -0.033212, 0.112161, -0.859931, 22.796537
-0.023082, -0.019543, 0.175723, -0.834604, 22.625752
-0.025400, 0.107211, 0.236776, -0.827783, 22.241794
-0.025669, -0.030243, 0.292921, -0.778443, 21.932652
-0.028730, 0.023232, 0.294873, -0.698163, 21.364587
-0.025707, -0.035146, 0.288152, -0.643439, 20.996706
-0.026896, 0.037980, 0.279402, -0.556717, 20.305030
-0.027018, 0.031698, 0.197739, -0.497044, 19.172379
-0.027497, -0.047375, 0.116804, -0.513361, 18.261888
-0.027371, -0.042914, 0.019487, -0.499635, 17.334213
-0.026594, -0.061862, -0.052994, -0.515280, 16.606891
-0.026764, -0.015666, -0.109051, -0.555850, 15.843453
-0.026161, 0.104708, -0.114752, -0.650475, 15.223452
-0.026395, -0.007566, -0.125214, -0.730972, 14.681095
-0.025924, 0.010081, -0.149988, -0.776417, 14.236003
-0.025787, -0.092680, -0.162145, -0.841185, 13.756183
-0.025665, -0.104682, -0.142706, -0.904337, 13.111765
-0.026112, 0.095103, -0.108224, -0.954900, 12.522590
-0.026683, -0.013996, -0.064011, -0.989244, 11.995422
-0.025323, 0.025415, -0.033351, -1.033705, 11.458269
-0.024138, 0.042993, -0.002246, -1.066335, 10.931021
-0.022963, 0.097319, 0.008223, -1.073892, 10.344387
-0.022519, -0.023063, 0.005247, -1.029201, 9.699961
-0.018858, 0.014017, 0.033127, -1.035512, 9.178525
-0.016749, 0.027949, 0.029371, -1.047226, 8.639910
-0.016058, -0.056476, 0.015683, -1.060373, 8.125766
-0.015906, 0.052917, 0.021505, -1.090467, 7.660800
-0.015964, 0.003018, 0.034764, -1.120666, 7.218331
-0.014994, 0.032439, 0.039123, -1.152536, 6.806634
-0.013776, 0.022573, 0.026346, -1.180479, 6.451017
-0.013849, -0.036955, 0.022418, -1.210243, 6.086071
-0.013643, 0.080376, 0.013248, -1.233001, 5.726940
-0.013945, -0.010765, 0.009561, -1.259185, 5.381886
-0.011550, -0.010915, -0.002941, -1.270360, 5.021042
-0.008924, -0.041925, 0.018307, -1.280782, 4.626805
