w_hedge, r_hedge, skewness, kurtosis, sharpe
0.001145, 0.002248, -5.184071, 35.292255, 0.631107
0.001070, -0.106103, -5.193646, 35.353191, 0.660997
0.001026, 0.067107, -5.209465, 35.474037, 0.692986
0.001076, 0.050286, -5.223755, 35.587598, 0.718410
0.001022, 0.048950, -5.239522, 35.715921, 0.744355
0.001031, 0.031770, -5.242105, 35.738162, 0.747754
0.001048, 0.020780, -5.243144, 35.747105, 0.749123
0.001072, 0.031345, -5.243543, 35.750435, 0.749715
0.001075, 0.030814, -5.247120, 35.779684, 0.755486
0.001081, 0.043695, -5.253385, 35.830410, 0.765992
0.001032, -0.019306, -5.267775, 35.942803, 0.793712
0.000979, -0.026942, -5.279817, 36.028014, 0.824840
0.001021, 0.004918, -5.293855, 36.104590, 0.886845
0.001027, 0.037564, -5.313420, 36.245512, 0.937260
0.001022, 0.003015, -5.330984, 36.376334, 0.978207
0.000972, -0.017153, -5.350267, 36.525748, 1.018247
0.000968, 0.000860, -5.367116, 36.628610, 1.084358
0.001011, -0.014294, -5.383609, 36.730820, 1.147479
0.001003, -0.017105, -5.399912, 36.832293, 1.209871
0.001042, -0.072719, -5.417777, 36.943086, 1.281298
0.001081, 0.033178, -5.441715, 37.116632, 1.348616
0.001224, 0.076246, -5.463645, 37.279229, 1.405618
0.001172, -0.018898, -5.488493, 37.471970, 1.462110
0.001101, -0.012094, -5.513750, 37.688547, 1.499933
0.001099, -0.058357, -5.542723, 37.927012, 1.553677
0.001140, -0.025015, -5.574125, 38.180286, 1.619763
0.001245, 0.051642, -5.605417, 38.440491, 1.677598
0.001291, -0.023282, -5.637694, 38.711800, 1.735431
0.001197, -0.042800, -5.665955, 38.947423, 1.788307
0.001230, -0.010980, -5.686546, 39.120441, 1.825053
0.001308, 0.074271, -5.705600, 39.276422, 1.863616
0.001316, 0.006334, -5.719180, 39.393197, 1.885496
0.001258, 0.070197, -5.728326, 39.472765, 1.899459
0.001259, 0.054220, -5.733882, 39.520495, 1.908483
0.001201, 0.046198, -5.731082, 39.496711, 1.903685
0.001190, 0.022599, -5.723920, 39.435066, 1.892176
0.001182, 0.022092, -5.720121, 39.402609, 1.885877
0.001144, 0.036505, -5.715090, 39.359931, 1.877269
0.001131, 0.072658, -5.706788, 39.288618, 1.863899
0.001151, -0.008591, -5.703016, 39.257299, 1.856864
0.001171, 0.032662, -5.694055, 39.186245, 1.836710
0.001202, -0.016533, -5.683199, 39.103863, 1.808238
0.001204, 0.006629, -5.673094, 39.032228, 1.776059
0.001353, 0.021525, -5.664399, 38.970494, 1.748811
0.001533, -0.010231, -5.775367, 40.000777, 1.621077
0.001592, 0.027248, -5.802435, 40.303199, 1.533184
0.001514, 0.014348, -6.063643, 42.546997, 1.374246
0.001190, 0.009672, -6.845604, 48.595784, 1.143732
-0.001390, -0.016437, 2.856461, 13.573338, 8.778218
0.000537, 0.048054, 0.486839, 0.857995, 11.560626
-0.000246, -0.003183, -0.013629, -0.520860, 12.298493
-0.000286, -0.074491, -0.010168, -0.521982, 12.288158
-0.000249, 0.009120, 0.005954, -0.418029, 12.330785
0.000525, -0.034044, 0.042876, -0.373855, 12.274640
0.001173, 0.101978, 0.057990, -0.316784, 12.281740
0.002110, -0.001579, 0.070737, -0.291290, 12.271028
0.000714, 0.011715, 0.048990, -0.293454, 12.327628
0.001279, -0.002662, 0.058672, -0.284013, 12.311484
-0.001250, 0.021016, 0.103600, -0.171242, 12.274412
-0.000696, 0.055504, 0.126980, -0.209544, 12.142667
-0.000266, 0.002363, 0.176725, -0.225775, 11.954073
0.000429, 0.035386, 0.213373, -0.252634, 11.792160
0.000428, -0.002093, 0.222378, -0.273491, 11.723618
-0.000830, 0.051745, 0.220162, -0.260650, 11.761577
-0.000353, 0.018241, 0.218832, -0.239202, 11.825058
-0.001003, 0.020841, 0.351155, -0.308581, 12.341527
-0.001528, 0.008270, 0.540795, -0.467785, 12.988062
-0.001820, 0.007445, 0.678467, -0.543110, 13.506519
-0.001880, 0.054195, 0.750419, -0.558332, 13.813302
-0.001852, 0.056353, 0.789828, -0.555854, 14.005900
-0.001557, 0.047032, 0.722815, -0.570732, 13.593843
-0.000710, 0.014973, 0.672279, -0.574823, 13.014063
