w_hedge, r_hedge, skewness, kurtosis, sharpe
-0.000206, 0.001198, 3.436031, 13.053453, 4.189013
-0.000210, -0.106850, 3.440479, 13.080949, 4.204394
-0.000207, 0.066522, 3.444092, 13.104399, 4.219202
-0.000199, 0.050441, 3.447575, 13.126451, 4.232281
-0.000202, 0.049154, 3.449891, 13.140959, 4.240644
-0.000203, 0.031769, 3.449719, 13.139906, 4.240072
-0.000203, 0.020597, 3.449349, 13.137663, 4.238890
-0.000206, 0.030958, 3.449701, 13.139819, 4.240057
-0.000209, 0.029921, 3.445116, 13.108195, 4.217035
-0.000210, 0.042553, 3.449198, 13.133022, 4.230324
-0.000203, -0.021237, 3.447099, 13.117499, 4.217396
-0.000206, -0.028254, 3.450254, 13.137297, 4.228889
-0.000203, 0.003930, 3.453202, 13.156876, 4.241940
-0.000185, 0.036658, 3.449768, 13.129583, 4.215983
-0.000185, 0.001378, 3.446475, 13.108414, 4.202904
-0.000185, -0.018702, 3.441422, 13.073063, 4.176216
-0.000186, -0.000690, 3.436936, 13.041810, 4.152860
-0.000187, -0.016110, 3.433336, 13.017510, 4.135943
-0.000175, -0.018705, 3.435126, 13.002367, 4.066556
-0.000176, -0.074132, 3.432243, 12.982363, 4.051674
-0.000175, 0.031794, 3.428821, 12.957566, 4.031495
-0.000173, 0.075463, 3.424614, 12.928678, 4.010372
-0.000178, -0.020189, 3.420127, 12.896725, 3.985098
-0.000179, -0.013674, 3.416328, 12.871713, 3.968451
-0.000165, -0.059769, 3.411654, 12.835523, 3.934856
-0.000168, -0.026741, 3.408627, 12.814236, 3.918481
-0.000166, 0.049779, 3.408573, 12.813879, 3.918244
-0.000163, -0.024913, 3.411993, 12.837639, 3.936088
-0.000169, -0.044470, 3.415896, 12.864597, 3.956100
-0.000166, -0.012245, 3.420555, 12.896141, 3.978557
-0.000160, 0.073233, 3.423190, 12.914217, 3.991722
-0.000160, 0.005348, 3.424861, 12.926398, 4.001727
-0.000166, 0.069334, 3.425088, 12.928063, 4.003102
-0.000165, 0.053599, 3.423853, 12.918907, 3.995356
-0.000175, 0.045367, 3.422819, 12.901388, 3.963443
-0.000178, 0.021781, 3.423103, 12.903339, 3.964869
-0.000178, 0.021488, 3.421808, 12.891002, 3.949951
-0.000204, 0.035711, 3.472548, 13.152787, 3.839076
-0.000215, 0.071973, 3.545421, 13.558570, 3.712096
-0.000185, -0.009227, 3.596922, 13.832447, 3.598267
-0.000171, 0.031972, 3.603752, 13.849950, 3.534847
-0.000166, -0.017278, 3.607733, 13.854032, 3.479597
-0.000166, 0.005892, 3.606025, 13.836697, 3.454356
-0.000151, 0.020776, 3.604645, 13.819935, 3.425638
-0.000140, -0.011255, 3.624677, 13.910316, 3.348428
-0.000133, 0.026412, 3.703518, 14.367213, 3.224658
-0.000229, 0.013131, 4.398492, 21.093866, 3.047703
-0.000345, 0.008278, 4.940494, 26.133769, 2.839551
-0.000293, -0.016311, 5.564703, 32.319877, 2.629710
-0.000406, 0.046943, 5.385527, 30.874646, 3.561738
-0.002065, -0.006992, 4.763969, 26.153499, 5.309099
-0.002783, -0.079029, 2.715643, 7.631652, 8.126437
-0.003011, 0.004618, 3.010388, 9.674353, 8.180371
-0.002999, -0.038512, 3.165842, 10.588106, 8.101248
-0.003028, 0.096637, 3.525141, 15.090104, 9.038101
-0.003172, -0.007031, 4.179351, 22.598798, 9.538130
-0.003214, 0.007912, 4.739241, 28.565003, 9.683193
-0.003809, -0.005765, 0.521007, 0.151988, 17.046609
-0.005924, 0.016789, 0.207313, -0.797085, 18.070474
-0.005639, 0.052690, 0.257369, -0.817363, 17.662810
-0.005525, -0.001205, 0.296776, -0.846854, 17.344251
-0.005132, 0.031604, 0.325297, -0.877228, 16.866682
-0.005297, -0.005814, 0.386849, -0.805287, 16.628286
-0.007075, 0.048665, 0.448655, -0.767564, 16.330392
-0.006412, 0.015144, 0.484029, -0.781451, 16.012229
-0.006323, 0.015778, 0.464390, -0.796617, 15.816019
-0.006200, 0.003906, 0.460664, -0.797796, 15.787255
-0.006137, 0.002649, 0.460660, -0.796546, 15.795300
-0.006059, 0.048028, 0.461139, -0.808788, 15.715531
-0.005847, 0.050353, 0.485859, -0.819866, 15.545268
-0.005940, 0.041108, 0.549770, -0.732971, 15.449636
-0.005896, 0.009522, 0.601450, -0.678709, 15.331130
-0.006959, 0.083148, 0.654586, -0.526947, 15.477068
-0.007552, 0.092615, 0.705013, -0.472297, 15.344231
-0.008250, 0.022523, 0.701730, -0.450403, 15.502146
-0.008593, -0.006215, 0.700691, -0.454029, 15.479810
-0.008746, 0.037091, 0.695630, -0.471690, 15.367961
-0.008907, 0.004740, 0.672419, -0.504835, 15.106593
-0.009072, 0.084140, 0.646647, -0.535304, 14.850345
-0.009306, -0.044848, 0.634370, -0.575450, 14.528233
-0.009812, -0.025305, 0.623469, -0.613989, 14.216224
-0.009945, 0.037136, 0.625636, -0.610843, 14.239723
-0.009653, 0.013752, 0.630920, -0.587578, 14.392434
-0.009658, 0.109954, 0.660121, -0.578550, 14.569437
-0.009823, 0.027957, 0.672992, -0.564008, 14.690359
-0.010665, 0.051896, 0.673053, -0.561137, 14.708883
-0.011384, 0.045594, 0.671753, -0.591030, 14.479011
-0.013085, -0.006296, 0.714768, -0.451401, 14.669074
-0.013194, -0.011892, 0.704734, -0.412932, 15.079537
-0.014809, 0.006341, 0.667723, -0.530093, 15.376190
-0.016633, 0.043341, 0.709132, -0.389866, 15.593720
-0.018370, -0.038273, 0.606380, -0.727117, 16.261045
-0.017997, -0.200348, 0.625652, -0.649294, 16.593730
-0.018052, -0.037502, 0.676120, -0.499975, 16.697340
-0.013199, 0.019224, 0.660633, -0.477526, 16.900413
-0.012242, -0.015586, 0.738796, -0.326719, 16.812860
-0.012215, 0.014266, 0.652845, -0.522394, 17.223974
-0.011743, -0.001850, 1.399222, 3.023976, 15.547976
-0.012330, -0.014438, 1.868034, 4.601165, 13.815753
-0.011979, -0.038461, 1.751461, 3.555889, 13.366367
-0.011140, -0.014069, 1.620277, 2.924049, 13.324210
-0.010767, 0.006471, 1.567094, 2.775477, 13.418024
-0.010420, -0.067823, 1.558271, 2.762228, 13.451968
-0.010740, 0.026006, 1.547519, 2.747916, 13.497518
-0.010041, 0.054905, 1.551904, 2.759907, 13.491118
-0.010345, 0.025891, 1.543843, 2.729048, 13.492329
-0.011379, -0.000741, 1.592449, 2.897142, 13.461385
-0.011442, 0.029657, 1.620546, 2.949801, 13.363899
-0.011532, -0.014341, 1.693953, 3.187930, 13.263893
-0.012046, -0.014871, 1.817930, 3.754820, 13.151491
-0.012676, 0.017849, 1.923726, 4.183214, 13.034832
-0.012077, -0.026502, 2.039375, 4.684601, 12.933529
-0.012730, -0.014455, 2.145491, 5.209768, 12.725243
-0.014549, 0.110518, 2.167621, 5.390805, 12.343992
-0.014752, -0.027008, 2.199642, 5.540247, 12.020913
-0.015881, 0.025421, 2.186378, 5.489008, 11.665444
-0.014402, -0.034755, 2.204030, 5.567214, 11.337936
-0.014784, 0.038576, 2.191427, 5.494904, 11.025951
-0.014794, 0.033695, 2.149990, 5.321774, 10.705371
-0.014964, -0.044438, 2.092443, 5.109099, 10.472070
-0.014824, -0.041291, 1.996152, 4.799935, 10.123373
-0.014568, -0.059320, 1.896766, 4.507445, 9.832815
-0.014683, -0.012748, 1.821668, 4.252758, 9.546052
-0.014499, 0.106293, 1.765232, 4.037917, 9.278753
-0.014624, -0.005665, 1.707727, 3.824176, 9.012558
-0.014271, 0.010926, 1.662671, 3.663544, 8.831330
-0.014203, -0.092820, 1.616344, 3.494604, 8.631963
-0.014082, -0.105938, 1.585151, 3.337559, 8.356645
-0.014159, 0.093990, 1.565554, 3.213477, 8.132887
-0.014139, -0.015849, 1.566198, 3.144989, 7.933082
-0.013529, 0.022836, 1.576147, 3.106162, 7.691263
-0.012922, 0.039352, 1.589337, 3.079776, 7.459767
-0.012380, 0.094483, 1.595923, 3.039754, 7.203294
-0.012219, -0.026134, 1.591640, 2.971528, 6.939723
-0.010815, 0.011132, 1.608457, 2.967457, 6.694665
-0.009947, 0.025199, 1.587771, 2.858424, 6.462471
-0.009695, -0.059374, 1.563205, 2.742799, 6.242386
-0.009647, 0.049749, 1.539806, 2.640757, 6.083333
-0.009640, -0.000175, 1.519415, 2.549095, 5.939538
-0.009432, 0.029575, 1.500568, 2.459525, 5.790992
-0.008945, 0.019689, 1.478977, 2.364366, 5.635186
