w_hedge, r_hedge, skewness, kurtosis, sharpe
0.027637, -0.001488, 0.324193, -0.036558, -9.268124
0.029104, -0.105066, 0.354082, 0.090031, -9.499697
0.024301, 0.063190, 0.294994, 0.092076, -9.313399
0.025020, 0.040240, 0.232588, -0.037764, -8.941086
0.024330, 0.037167, 0.179002, -0.010471, -8.798400
0.025685, 0.022830, 0.176744, -0.001018, -8.795064
0.027748, 0.012557, 0.194041, -0.060527, -8.824258
0.031820, 0.024148, 0.190101, -0.054526, -8.816913
0.033176, 0.026011, 0.187935, -0.054054, -8.811889
0.036078, 0.053072, 0.164707, -0.056714, -8.752577
0.033437, -0.011867, 0.110302, -0.055119, -8.599053
0.030711, -0.022288, 0.137435, -0.109824, -7.917813
0.032007, 0.008696, 0.131496, -0.175373, -7.328166
0.027387, 0.038568, 0.084529, -0.243136, -6.890596
0.028053, 0.012098, 0.035244, -0.342456, -6.542916
0.027724, -0.005736, -0.031129, -0.353992, -6.268105
0.028357, 0.011472, 0.000066, -0.330393, -5.673604
0.030729, -0.007288, 0.063220, -0.252024, -5.036974
0.028721, -0.009749, 0.083145, -0.235233, -4.488498
0.031181, -0.073367, 0.040049, -0.256358, -4.098303
0.033451, 0.029098, 0.006383, -0.263387, -3.697744
0.035025, 0.068848, -0.016153, -0.160017, -3.485134
0.043883, -0.026264, 0.049225, -0.095425, -3.319801
0.051599, -0.011301, 0.151455, -0.046550, -3.202443
0.044188, -0.058157, 0.287270, -0.043998, -3.061417
0.054808, -0.019240, 0.397700, -0.094331, -2.814139
0.061431, 0.056496, 0.492132, -0.116414, -2.570754
0.066974, -0.020177, 0.489674, -0.129070, -2.277634
0.066567, -0.032336, 0.447871, -0.121728, -2.032273
0.076288, -0.012940, 0.564259, -0.192270, -1.747040
0.076530, 0.074407, 0.506162, -0.250936, -1.461803
0.078592, 0.008224, 0.476881, -0.229660, -1.351235
0.078506, 0.067839, 0.448641, -0.239072, -1.273202
0.081119, 0.046896, 0.479573, -0.110833, -1.412250
0.084887, 0.035042, 0.450898, 0.015582, -1.764889
0.086865, 0.005825, 0.486563, 0.059341, -1.859691
0.088943, 0.001888, 0.525853, 0.091358, -1.966432
0.088919, 0.025215, 0.573841, 0.113688, -2.112597
0.089129, 0.059520, 0.605944, 0.094476, -2.233736
0.091458, -0.014258, 0.651105, 0.157524, -2.355043
0.092461, 0.030450, 0.652471, 0.209237, -2.290246
0.092502, -0.013702, 0.630778, 0.228322, -2.207605
0.093790, 0.008436, 0.601512, 0.260623, -2.078003
0.088917, 0.020434, 0.559264, 0.276931, -1.904136
0.088408, -0.007905, 0.517909, 0.292872, -1.753522
0.090188, 0.032337, 0.502464, 0.380429, -1.583993
0.091484, 0.019374, 0.468379, 0.352933, -1.493031
0.092878, 0.013028, 0.423971, 0.316033, -1.370631
0.091272, -0.008543, 0.383227, 0.279276, -1.260333
0.090160, 0.063820, 0.339571, 0.283889, -1.128662
0.093506, 0.017684, 0.286022, 0.296415, -0.949884
0.086767, -0.061080, 0.225180, 0.197173, -0.747761
0.085787, 0.033047, 0.163909, 0.085375, -0.512485
0.091143, -0.039758, 0.106321, 0.037607, -0.334328
0.086348, 0.106869, 0.056678, 0.014228, 0.025118
0.086094, 0.000080, 0.039422, 0.092372, 0.119762
0.080907, 0.005243, -0.008341, 0.149220, 0.274203
0.080195, -0.007884, -0.042094, 0.182287, 0.370515
0.079856, 0.012419, -0.019678, 0.162226, 0.308980
0.078266, 0.029634, -0.035646, 0.219996, 0.376508
0.077824, -0.025665, -0.039677, 0.240958, 0.397708
0.077823, 0.005042, -0.072460, 0.189640, 0.321474
0.074288, -0.027065, -0.107207, 0.058378, 0.153647
0.073357, 0.022124, -0.107620, -0.092121, -0.124057
0.066752, -0.009439, -0.118604, -0.190099, -0.235311
0.066967, 0.000348, -0.113901, -0.194262, -0.230744
0.062290, -0.009821, -0.043946, -0.306816, -0.183087
0.061123, -0.011632, -0.027742, -0.303200, -0.156091
0.059693, 0.035657, -0.027770, -0.303237, -0.156163
0.056744, 0.039954, -0.043109, -0.342799, -0.215182
0.059921, 0.029337, -0.046196, -0.427137, -0.323599
0.070506, -0.010684, 0.005655, -0.424596, -0.675482
0.073226, 0.062729, 0.059132, -0.414818, -1.023710
0.070723, 0.071449, 0.102016, -0.439594, -1.346344
0.079772, -0.001169, 0.142173, -0.472825, -1.641319
0.089111, -0.028100, 0.176161, -0.532674, -1.874705
0.092933, 0.011797, 0.174500, -0.529647, -2.351918
0.093938, -0.023562, 0.079468, -0.746272, -2.930458
0.101119, 0.045782, -0.025761, -1.026403, -3.538230
0.099248, -0.079387, -0.019875, -1.080568, -4.016034
0.107077, -0.064487, -0.068514, -1.209244, -4.573435
0.095809, 0.002184, -0.017980, -1.238553, -4.791873
0.087130, -0.016513, 0.000024, -1.272094, -4.922038
0.084568, 0.081562, 0.004594, -1.311164, -4.985913
0.084004, -0.003196, 0.024372, -1.353637, -5.079242
0.093206, 0.029857, 0.079139, -1.356146, -5.322873
0.091949, 0.035126, 0.133227, -1.352595, -5.559222
0.094083, -0.017137, 0.196450, -1.317373, -5.902041
0.097744, -0.023334, 0.255502, -1.254204, -6.199133
0.096604, -0.002588, 0.304848, -1.182990, -6.432038
0.094157, 0.032649, 0.343069, -1.110491, -6.860099
0.094091, -0.039730, 0.394840, -1.053052, -7.038614
0.096428, -0.194274, 0.459199, -0.979153, -7.273111
0.094282, -0.045706, 0.519716, -0.877942, -7.527316
0.082710, 0.029767, 0.577223, -0.797652, -7.722861
0.079598, 0.006566, 0.615531, -0.749347, -7.836646
0.079716, 0.038275, 0.626889, -0.733107, -7.870402
0.079745, 0.013462, 0.636401, -0.726640, -7.894508
0.081677, 0.002470, 0.641966, -0.725218, -7.908277
0.081590, -0.020428, 0.667110, -0.693636, -7.979355
0.079758, -0.016159, 0.662590, -0.701152, -7.965291
0.079894, 0.001403, 0.652017, -0.734829, -7.903138
0.079105, -0.078550, 0.697262, -0.640609, -8.075312
0.079066, 0.018051, 0.760598, -0.489075, -8.357555
0.074078, 0.043742, 0.839407, -0.324736, -8.671370
0.075321, 0.014602, 0.916838, -0.166760, -8.951271
0.078016, -0.012626, 1.004651, 0.054787, -9.317545
0.079180, 0.014310, 1.094649, 0.338977, -9.750112
0.078696, -0.023681, 1.191897, 0.671567, -10.220728
0.079588, -0.023210, 1.293710, 1.035965, -10.677041
0.078408, 0.006918, 1.390632, 1.488540, -11.230832
0.079598, -0.046978, 1.455622, 2.014391, -12.208608
0.080494, -0.037184, 1.439707, 2.374419, -13.620190
0.076105, 0.085386, 1.488069, 3.076700, -15.049399
0.075497, -0.049663, 0.940936, 0.722525, -18.255843
0.081735, -0.000754, 1.026263, 1.075644, -19.067218
0.079838, -0.065884, 0.899391, 0.871667, -21.243433
0.079832, 0.006945, 0.716800, 0.438185, -23.666439
0.075088, -0.000787, 0.722441, 0.614698, -24.916936
0.075787, -0.080422, 0.663737, 0.664955, -26.593626
0.075470, -0.073976, 0.650492, 0.839066, -27.623097
0.068047, -0.089338, 0.610309, 0.693185, -27.231758
0.064628, -0.042411, 0.600150, 0.619352, -27.070612
0.058016, 0.079483, 0.581026, 0.560264, -26.908104
0.056443, -0.032685, 0.567930, 0.449092, -26.644740
0.060223, -0.019429, 0.538456, 0.396242, -26.447964
0.058220, -0.119491, 0.506825, 0.351211, -26.252102
0.056733, -0.131287, 0.474739, 0.231006, -25.840502
0.049131, 0.072703, 0.490624, 0.148253, -25.661920
0.040857, -0.031465, 0.489290, 0.053994, -25.415786
0.043682, 0.001329, 0.514681, 0.004410, -25.339340
0.040109, 0.016031, 0.553045, 0.024267, -25.425853
0.038804, 0.076356, 0.573971, -0.028149, -25.298908
0.039960, -0.048036, 0.499002, -0.101680, -24.803703
0.040444, -0.011356, 0.502767, -0.132899, -24.739883
0.033058, 0.008004, 0.491259, -0.200052, -24.537436
0.031774, -0.076247, 0.481114, -0.271868, -24.311089
0.032733, 0.032143, 0.524456, -0.282748, -24.324621
0.026860, -0.015965, 0.553743, -0.313930, -24.259108
0.029001, 0.012498, 0.567833, -0.358908, -24.141574
0.023924, 0.003881, 0.552404, -0.399371, -23.982209
0.027351, -0.057681, 0.542503, -0.442537, -23.829940
0.029118, 0.055740, 0.500712, -0.470129, -23.580834
0.023714, -0.032344, 0.465697, -0.513259, -23.317812
0.027448, -0.032651, 0.352839, -0.492932, -22.750849
0.019590, -0.058895, 0.268221, -0.505792, -22.265663
0.016448, 0.003658, 0.225882, -0.554676, -21.935029
0.010237, 0.033718, 0.178383, -0.585878, -21.487754
0.009175, -0.039081, 0.148699, -0.549236, -21.201384
0.011405, -0.004842, 0.165723, -0.520561, -21.311086
0.008873, 0.019009, 0.176317, -0.507263, -21.266205
0.008247, -0.013842, 0.160891, -0.465403, -21.138214
0.007855, -0.031199, 0.192510, -0.501795, -21.080052
0.007534, 0.014904, 0.248473, -0.488253, -21.277728
0.009985, 0.003183, 0.314931, -0.452024, -21.531849
0.011057, -0.001929, 0.364215, -0.330795, -21.970532
0.010563, 0.018583, 0.419608, -0.184746, -22.734069
0.010055, 0.053246, 0.488707, -0.037338, -23.263852
0.009670, 0.041850, 0.560661, 0.104809, -23.717068
0.011359, 0.018340, 0.630967, 0.321458, -24.410421
0.012878, -0.014114, 0.647453, 0.562120, -25.811302
0.013508, 0.014547, 0.265789, -0.495190, -28.994910
0.013036, 0.039857, 0.235854, -0.439708, -30.494261
0.013293, -0.024410, 0.229295, -0.331258, -31.837706
0.016144, 0.020298, 0.277759, -0.197250, -32.526426
0.014323, -0.061306, 0.322460, -0.054342, -33.176863
0.013582, 0.043553, 0.367924, 0.107364, -33.875300
0.011332, 0.061358, 0.347333, 0.187229, -34.531135
0.012588, -0.016742, 0.348794, 0.371928, -35.521868
0.013829, -0.047077, 0.347795, 0.590115, -36.669798
0.013578, 0.028019, 0.227219, 0.520765, -37.990519
0.012670, 0.001012, 0.055124, 0.286914, -39.442850
0.012827, -0.003788, -0.007213, 0.138241, -39.822883
0.013437, 0.017022, 0.452493, 1.277673, -36.902150
0.013790, 0.029942, 0.890355, 2.157849, -33.312599
0.010978, -0.027103, 0.960017, 1.816683, -31.304882
0.011764, 0.027036, 1.254754, 2.347161, -27.973981
0.010897, -0.042622, 1.272521, 1.920322, -26.084790
0.012403, 0.009807, 1.207645, 1.403288, -24.739245
0.011422, -0.015574, 1.326032, 1.584102, -22.095927
0.010450, 0.014170, 1.278831, 1.170036, -20.435826
0.012255, 0.048047, 1.188154, 0.731859, -19.359473
0.013979, 0.033667, 1.110684, 0.373331, -18.397404
0.016504, 0.008022, 1.039113, 0.072094, -17.420227
0.017595, -0.001642, 0.955320, -0.191033, -16.790914
0.013785, 0.048220, 0.879296, -0.424731, -16.036790
0.014314, -0.023853, 0.799517, -0.624828, -15.475963
0.014846, 0.027343, 0.722633, -0.771808, -15.095116
0.018721, -0.018093, 0.650458, -0.912548, -14.687944
0.023981, 0.031701, 0.579664, -1.030419, -14.324565
0.020349, 0.026754, 0.516619, -1.133502, -13.991149
0.021626, 0.014786, 0.466140, -1.222158, -13.692826
0.021464, 0.003114, 0.400933, -1.301865, -13.375824
0.020364, 0.014505, 0.334317, -1.351264, -13.127530
0.016764, 0.021735, 0.277582, -1.407506, -12.868859
0.018769, -0.001192, 0.213030, -1.457086, -12.561010
0.019089, 0.004011, 0.148256, -1.493668, -12.272941
0.018373, -0.036423, 0.087849, -1.525134, -12.001474
0.022027, 0.010147, 0.027858, -1.550499, -11.653179
0.019750, 0.037810, -0.033117, -1.565468, -11.330263
0.020548, 0.004046, -0.096077, -1.567408, -11.025337
0.019941, 0.054057, -0.159489, -1.559904, -10.745344
0.019630, -0.018125, -0.224380, -1.523667, -10.579303
0.024000, 0.009596, -0.292460, -1.482675, -10.368424
0.019014, 0.009571, -0.357708, -1.424737, -10.206241
0.021638, -0.021421, -0.423987, -1.355318, -10.046819
0.024250, 0.030437, -0.494181, -1.269875, -9.887366
0.029856, 0.058382, -0.557606, -1.183857, -9.734269
0.030868, 0.045356, -0.612062, -1.107324, -9.640492
0.029803, 0.040973, -0.673350, -1.001632, -9.565362
0.037305, -0.074393, -0.720495, -0.912666, -9.568935
0.041749, 0.045237, -0.725912, -0.945464, -9.679891
0.038524, -0.061233, -0.738757, -0.932890, -9.801816
0.045351, 0.009084, -0.751709, -0.903828, -9.937137
